GEOID,ALAND,AWATER,NAME,State,County,B19049_001E,B19049_001M,B19049_002E,B19049_002M,B19049_003E,B19049_003M,B19049_004E,B19049_004M,B19049_005E,B19049_005M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19053_001E,B19053_001M,B19053_002E,B19053_002M,B19053_003E,B19053_003M,B19053_calc_pctSelfempE,B19053_calc_pctSelfempM,Shape__Area,Shape__Length,Update_Field
42003474201,3307057.0,0.0,Census Tract 4742.01,Pennsylvania,Allegheny County,163750.0,16434.0,,,166161.0,38833.0,202250.0,75671.0,98393.0,36006.0,,,,,151964.0,50733.0,,,,,160625.0,57704.0,167000.0,29740.0,,,951,128.0,72,32.0,879,124.0,7.6,3.206870051444372,5699293.6796875,17405.617717384277,Yes
42003474202,8860747.0,0.0,Census Tract 4742.02,Pennsylvania,Allegheny County,128063.0,29250.0,,,129563.0,99088.0,202250.0,55871.0,93309.0,19103.0,,,,,,,,,,,,,128500.0,42402.0,150972.0,112203.0,2061,178.0,191,94.0,1870,194.0,9.3,4.490114842968855,15261739.63671875,22370.03247563801,Yes
42003474203,4407424.0,0.0,Census Tract 4742.03,Pennsylvania,Allegheny County,142750.0,46006.0,,,176071.0,37679.0,164512.0,113172.0,88750.0,17309.0,,,,,,,,,,,192692.0,82627.0,142143.0,47317.0,194135.0,89671.0,1744,206.0,219,79.0,1525,213.0,12.6,4.280089530267512,7588756.546875,12362.354887545232,Yes
42003475101,3134673.0,0.0,Census Tract 4751.01,Pennsylvania,Allegheny County,94514.0,32569.0,,,131382.0,29132.0,123600.0,37892.0,46929.0,14553.0,,,,,,,,,,,,,98266.0,35314.0,,,2365,276.0,88,54.0,2277,276.0,3.7,2.241625780005726,5402596.98828125,10595.90391899988,Yes
42003475102,1826777.0,0.0,Census Tract 4751.02,Pennsylvania,Allegheny County,107500.0,19170.0,,,99464.0,28117.0,152946.0,31184.0,78571.0,20391.0,,,,,,,,,,,,,110000.0,18120.0,,,672,65.0,73,31.0,599,69.0,10.9,4.491834914514629,3147519.78515625,7689.575124950731,Yes
42003475200,4720556.0,0.0,Census Tract 4752,Pennsylvania,Allegheny County,117574.0,11385.0,103235.0,41305.0,121690.0,14967.0,121336.0,20547.0,76008.0,13196.0,,,,,,,,,,,115735.0,52676.0,118292.0,14212.0,,,2282,206.0,193,76.0,2089,218.0,8.5,3.2417207923069795,8130354.3515625,18710.351466141783,Yes
42003475301,3387769.0,0.0,Census Tract 4753.01,Pennsylvania,Allegheny County,58301.0,18381.0,,,125882.0,32721.0,49281.0,34307.0,39333.0,20914.0,,,,,,,,,,,,,58862.0,18322.0,,,2212,397.0,81,69.0,2131,397.0,3.7,3.0493296002424097,5834895.2578125,11807.187654854555,Yes
42003475303,3104903.0,0.0,Census Tract 4753.03,Pennsylvania,Allegheny County,126471.0,9130.0,,,143563.0,40292.0,147917.0,24242.0,84583.0,33664.0,,,,,,,,,,,,,125227.0,9855.0,,,1746,209.0,154,52.0,1592,213.0,8.8,2.7848145190358022,5345177.50390625,10608.778434714028,Yes
42003475304,4349271.0,0.0,Census Tract 4753.04,Pennsylvania,Allegheny County,130563.0,20070.0,,,143750.0,23317.0,147540.0,10879.0,53929.0,15405.0,,,,,,,,,,,43462.0,2939.0,131408.0,17965.0,,,2408,202.0,130,85.0,2278,236.0,5.4,3.500728119903827,7485417.38671875,15750.31858678845,Yes
42003475401,5916213.0,0.0,Census Tract 4754.01,Pennsylvania,Allegheny County,96964.0,25607.0,,,123958.0,54279.0,118889.0,24549.0,69300.0,21746.0,,,,,,,,,,,,,105455.0,25043.0,135337.0,127954.0,1791,299.0,127,61.0,1664,291.0,7.1,3.193565937751844,10194566.07421875,14696.598380997748,Yes
42003475402,3867976.0,0.0,Census Tract 4754.02,Pennsylvania,Allegheny County,126108.0,19535.0,,,119868.0,20442.0,230208.0,112514.0,57778.0,21548.0,80000.0,25844.0,,,,,,,,,,,126136.0,21718.0,,,1401,281.0,179,65.0,1222,304.0,12.8,3.8676057050204813,6659828.37890625,13310.903310954649,Yes
42003476100,2420999.0,0.0,Census Tract 4761,Pennsylvania,Allegheny County,58517.0,4951.0,57986.0,32851.0,68323.0,7426.0,60446.0,23653.0,45536.0,11405.0,51800.0,36498.0,,,,,,,,,106902.0,64683.0,58281.0,5869.0,,,2285,201.0,120,79.0,2165,218.0,5.3,3.4263283627101906,4175099.97265625,16599.53411740603,Yes
42003476200,1717185.0,0.0,Census Tract 4762,Pennsylvania,Allegheny County,87824.0,12825.0,,,110139.0,41889.0,105850.0,13810.0,44625.0,13194.0,,,,,,,,,,,,,87963.0,13547.0,,,1470,172.0,177,70.0,1293,161.0,12.0,4.548720449763775,2961114.90234375,10080.483691419855,Yes
42003477100,2161098.0,0.0,Census Tract 4771,Pennsylvania,Allegheny County,102286.0,11565.0,,,125179.0,12017.0,105446.0,24446.0,70357.0,23158.0,,,,,59565.0,30787.0,,,,,,,104408.0,9871.0,,,1814,155.0,145,78.0,1669,174.0,8.0,4.245297788342449,3725906.109375,11834.17661619253,Yes
42003477200,2899681.0,0.0,Census Tract 4772,Pennsylvania,Allegheny County,81136.0,23037.0,,,106923.0,34490.0,102944.0,39659.0,55438.0,14431.0,,,,,64583.0,55261.0,,,,,,,85341.0,24650.0,,,2022,163.0,201,79.0,1821,169.0,9.9,3.8239596693399744,5000364.0546875,13376.39391798961,Yes
